Bin;Mass;Bin_lowedge;Bin_highedge;Bin_center;Volume;Density [u/Ang^3];Density [g/cm^3];Variance;Standard dev.;Standard error
40;0.00000;4.57984;4.69727;-0.98750;141.35445;0.00000;0.00000;0.00000;0.00000;0.00000
39;0.00000;4.46241;4.57984;-0.96250;137.77586;0.00000;0.00000;0.00000;0.00000;0.00000
38;0.00000;4.34498;4.46241;-0.93750;134.19727;0.00000;0.00000;0.00000;0.00000;0.00000
37;0.00000;4.22755;4.34498;-0.91250;130.61867;0.00000;0.00000;0.00000;0.00000;0.00000
36;0.00000;4.11012;4.22755;-0.88750;127.04008;0.00000;0.00000;0.00000;0.00000;0.00000
35;0.00000;3.99268;4.11012;-0.86250;123.46148;0.00000;0.00000;0.00000;0.00000;0.00000
34;0.00000;3.87525;3.99268;-0.83750;119.88289;0.00000;0.00000;0.00000;0.00000;0.00000
33;0.00000;3.75782;3.87525;-0.81250;116.30430;0.00000;0.00000;0.00000;0.00000;0.00000
32;0.00000;3.64039;3.75782;-0.78750;112.72570;0.00000;0.00000;0.00000;0.00000;0.00000
31;0.00000;3.52296;3.64039;-0.76250;109.14711;0.00000;0.00000;0.00000;0.00000;0.00000
30;0.00000;3.40552;3.52296;-0.73750;105.56852;0.00000;0.00000;0.00000;0.00000;0.00000
29;0.00000;3.28809;3.40552;-0.71250;101.98992;0.00000;0.00000;0.00000;0.00000;0.00000
28;0.00000;3.17066;3.28809;-0.68750;98.41133;0.00000;0.00000;0.00000;0.00000;0.00000
27;0.00000;3.05323;3.17066;-0.66250;94.83273;0.00000;0.00000;0.00000;0.00000;0.00000
26;0.00000;2.93580;3.05323;-0.63750;91.25414;0.00000;0.00000;0.00000;0.00000;0.00000
25;0.00000;2.81836;2.93580;-0.61250;87.67555;0.00000;0.00000;0.00000;0.00000;0.00000
24;0.00000;2.70093;2.81836;-0.58750;84.09695;0.00000;0.00000;0.00000;0.00000;0.00000
23;0.00000;2.58350;2.70093;-0.56250;80.51836;0.00000;0.00000;0.00000;0.00000;0.00000
22;0.00000;2.46607;2.58350;-0.53750;76.93977;0.00000;0.00000;0.00000;0.00000;0.00000
21;0.20160;2.34864;2.46607;-0.51250;73.36117;0.00275;0.00456;0.00003;0.00555;0.00079
20;1.18944;2.23121;2.34864;-0.48750;69.78258;0.01704;0.02830;0.00024;0.01563;0.00221
19;2.98368;2.11377;2.23121;-0.46250;66.20398;0.04507;0.07484;0.00051;0.02260;0.00320
18;3.74976;1.99634;2.11377;-0.43750;62.62539;0.05988;0.09943;0.00087;0.02945;0.00417
17;5.07258;1.87891;1.99634;-0.41250;59.04680;0.08591;0.14265;0.00498;0.07055;0.00998
16;5.67738;1.76148;1.87891;-0.38750;55.46820;0.10235;0.16996;0.00533;0.07302;0.01033
15;12.28116;1.64405;1.76148;-0.36250;51.88961;0.23668;0.39301;0.02704;0.16444;0.02326
14;12.97732;1.52661;1.64405;-0.33750;48.31102;0.26862;0.44605;0.03190;0.17861;0.02526
13;17.14264;1.40918;1.52661;-0.31250;44.73242;0.38323;0.63636;0.06674;0.25834;0.03653
12;25.56734;1.29175;1.40918;-0.28750;41.15383;0.62126;1.03163;0.17849;0.42248;0.05975
11;41.91924;1.17432;1.29175;-0.26250;37.57523;1.11561;1.85251;0.22876;0.47829;0.06764
10;47.05934;1.05689;1.17432;-0.23750;33.99664;1.38424;2.29858;0.46814;0.68421;0.09676
9;51.12218;0.93945;1.05689;-0.21250;30.41805;1.68065;2.79079;0.63595;0.79747;0.11278
8;47.41380;0.82202;0.93945;-0.18750;26.83945;1.76657;2.93346;0.39580;0.62913;0.08897
7;35.67772;0.70459;0.82202;-0.16250;23.26086;1.53381;2.54695;0.83157;0.91191;0.12896
6;36.41604;0.58716;0.70459;-0.13750;19.68227;1.85020;3.07232;1.38037;1.17489;0.16615
5;26.20334;0.46973;0.58716;-0.11250;16.10367;1.62717;2.70197;1.27399;1.12871;0.15962
4;29.74646;0.35230;0.46973;-0.08750;12.52508;2.37495;3.94370;1.73918;1.31878;0.18650
3;21.65732;0.23486;0.35230;-0.06250;8.94648;2.42076;4.01977;2.93209;1.71233;0.24216
2;10.34922;0.11743;0.23486;-0.03750;5.36789;1.92799;3.20150;3.74625;1.93552;0.27372
1;3.34272;0.00000;0.11743;-0.01250;1.78930;1.86818;3.10218;10.48555;3.23814;0.45794
1;3.34272;0.00000;0.11743;0.01250;1.78930;1.86818;3.10218;10.48555;3.23814;0.45794
2;10.34922;0.11743;0.23486;0.03750;5.36789;1.92799;3.20150;3.74625;1.93552;0.27372
3;21.65732;0.23486;0.35230;0.06250;8.94648;2.42076;4.01977;2.93209;1.71233;0.24216
4;29.74646;0.35230;0.46973;0.08750;12.52508;2.37495;3.94370;1.73918;1.31878;0.18650
5;26.20334;0.46973;0.58716;0.11250;16.10367;1.62717;2.70197;1.27399;1.12871;0.15962
6;36.41604;0.58716;0.70459;0.13750;19.68227;1.85020;3.07232;1.38037;1.17489;0.16615
7;35.67772;0.70459;0.82202;0.16250;23.26086;1.53381;2.54695;0.83157;0.91191;0.12896
8;47.41380;0.82202;0.93945;0.18750;26.83945;1.76657;2.93346;0.39580;0.62913;0.08897
9;51.12218;0.93945;1.05689;0.21250;30.41805;1.68065;2.79079;0.63595;0.79747;0.11278
10;47.05934;1.05689;1.17432;0.23750;33.99664;1.38424;2.29858;0.46814;0.68421;0.09676
11;41.91924;1.17432;1.29175;0.26250;37.57523;1.11561;1.85251;0.22876;0.47829;0.06764
12;25.56734;1.29175;1.40918;0.28750;41.15383;0.62126;1.03163;0.17849;0.42248;0.05975
13;17.14264;1.40918;1.52661;0.31250;44.73242;0.38323;0.63636;0.06674;0.25834;0.03653
14;12.97732;1.52661;1.64405;0.33750;48.31102;0.26862;0.44605;0.03190;0.17861;0.02526
15;12.28116;1.64405;1.76148;0.36250;51.88961;0.23668;0.39301;0.02704;0.16444;0.02326
16;5.67738;1.76148;1.87891;0.38750;55.46820;0.10235;0.16996;0.00533;0.07302;0.01033
17;5.07258;1.87891;1.99634;0.41250;59.04680;0.08591;0.14265;0.00498;0.07055;0.00998
18;3.74976;1.99634;2.11377;0.43750;62.62539;0.05988;0.09943;0.00087;0.02945;0.00417
19;2.98368;2.11377;2.23121;0.46250;66.20398;0.04507;0.07484;0.00051;0.02260;0.00320
20;1.18944;2.23121;2.34864;0.48750;69.78258;0.01704;0.02830;0.00024;0.01563;0.00221
21;0.20160;2.34864;2.46607;0.51250;73.36117;0.00275;0.00456;0.00003;0.00555;0.00079
22;0.00000;2.46607;2.58350;0.53750;76.93977;0.00000;0.00000;0.00000;0.00000;0.00000
23;0.00000;2.58350;2.70093;0.56250;80.51836;0.00000;0.00000;0.00000;0.00000;0.00000
24;0.00000;2.70093;2.81836;0.58750;84.09695;0.00000;0.00000;0.00000;0.00000;0.00000
25;0.00000;2.81836;2.93580;0.61250;87.67555;0.00000;0.00000;0.00000;0.00000;0.00000
26;0.00000;2.93580;3.05323;0.63750;91.25414;0.00000;0.00000;0.00000;0.00000;0.00000
27;0.00000;3.05323;3.17066;0.66250;94.83273;0.00000;0.00000;0.00000;0.00000;0.00000
28;0.00000;3.17066;3.28809;0.68750;98.41133;0.00000;0.00000;0.00000;0.00000;0.00000
29;0.00000;3.28809;3.40552;0.71250;101.98992;0.00000;0.00000;0.00000;0.00000;0.00000
30;0.00000;3.40552;3.52296;0.73750;105.56852;0.00000;0.00000;0.00000;0.00000;0.00000
31;0.00000;3.52296;3.64039;0.76250;109.14711;0.00000;0.00000;0.00000;0.00000;0.00000
32;0.00000;3.64039;3.75782;0.78750;112.72570;0.00000;0.00000;0.00000;0.00000;0.00000
33;0.00000;3.75782;3.87525;0.81250;116.30430;0.00000;0.00000;0.00000;0.00000;0.00000
34;0.00000;3.87525;3.99268;0.83750;119.88289;0.00000;0.00000;0.00000;0.00000;0.00000
35;0.00000;3.99268;4.11012;0.86250;123.46148;0.00000;0.00000;0.00000;0.00000;0.00000
36;0.00000;4.11012;4.22755;0.88750;127.04008;0.00000;0.00000;0.00000;0.00000;0.00000
37;0.00000;4.22755;4.34498;0.91250;130.61867;0.00000;0.00000;0.00000;0.00000;0.00000
38;0.00000;4.34498;4.46241;0.93750;134.19727;0.00000;0.00000;0.00000;0.00000;0.00000
39;0.00000;4.46241;4.57984;0.96250;137.77586;0.00000;0.00000;0.00000;0.00000;0.00000
40;0.00000;4.57984;4.69727;0.98750;141.35445;0.00000;0.00000;0.00000;0.00000;0.00000
