Frame;Bin 1;Bin 2;Bin 3;Bin 4;Bin 5;Bin 6;Bin 7;Bin 8;Bin 9;Bin 10;Bin 11;Bin 12;Bin 13;Bin 14;Bin 15;Bin 16;Bin 17;Bin 18;Bin 19;Bin 20;Bin 21;Bin 22;Bin 23;Bin 24;Bin 25;Bin 26;Bin 27;Bin 28;Bin 29;Bin 30;Bin 31;Bin 32;Bin 33;Bin 34;Bin 35;Bin 36;Bin 37;Bin 38;Bin 39;Bin 40
1;0.00000;2.42535;0.00000;3.11671;2.60940;1.32292;1.11939;2.27512;2.43546;1.11920;0.74661;0.38983;0.31358;0.43549;0.40546;0.03635;0.10243;0.11267;0.03045;0.01444;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2;0.00000;2.23756;1.34254;2.15775;0.80845;2.59360;1.67823;1.94028;0.88849;2.20875;1.11874;0.77859;0.62715;0.08346;0.11656;0.09086;0.08536;0.08048;0.00000;0.04333;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
3;0.00000;2.23756;2.90818;2.23663;1.74085;1.27170;2.10878;2.27512;2.10687;2.17910;0.10730;0.46224;0.13520;0.43549;0.15541;0.07269;0.06828;0.03219;0.04568;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
4;0.00000;4.84697;2.90818;1.11991;1.49171;1.22049;0.60217;1.38010;3.32395;1.94440;0.40013;0.09797;0.98481;0.45636;0.03885;0.07269;0.11950;0.08048;0.03045;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
5;0.00000;0.00000;2.90818;2.07887;3.23131;0.71166;2.75428;1.49277;1.57946;2.26805;0.40013;0.73067;0.38019;0.06259;0.38603;0.14538;0.05121;0.08048;0.04568;0.01444;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
6;7.82821;2.23756;3.02085;3.19559;1.49171;0.61024;0.73217;0.97014;3.25833;1.85545;0.69296;0.92456;0.09014;0.12519;0.36661;0.32478;0.11950;0.11267;0.06090;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
7;0.00000;0.18778;0.00000;6.23182;1.74085;1.93215;1.07606;0.93258;3.58692;0.82520;1.35909;0.12247;1.11903;0.04173;0.13598;0.07269;0.05121;0.06438;0.03045;0.02889;0.01374;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
8;0.00000;0.00000;0.00000;3.11671;3.29391;0.71267;2.19459;1.38010;1.57946;1.20756;1.94474;0.46331;0.82799;0.35294;0.11656;0.09086;0.01707;0.04829;0.06090;0.05778;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
9;0.56335;2.60940;1.34254;2.87687;0.74585;3.30526;2.75428;0.93258;0.06628;0.76590;0.74661;1.87360;0.71630;0.12519;0.36661;0.07269;0.05121;0.04829;0.10658;0.01444;0.01374;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
10;7.82821;4.84697;1.34254;1.91791;0.86980;1.37311;1.07606;1.90272;2.10687;2.14945;1.19922;0.02449;0.44878;0.37290;0.11656;0.05452;0.06828;0.06438;0.07613;0.01444;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
11;0.00000;4.84697;0.00000;2.07727;3.85322;1.93316;1.07606;1.90198;0.16569;1.47250;1.99839;0.31635;0.56047;0.06259;0.50259;0.00000;0.08536;0.03219;0.06090;0.01444;0.01374;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
12;0.00000;5.22254;4.36339;3.99518;0.00000;0.71166;0.55970;0.97014;2.43546;1.82580;1.41157;0.51230;0.35864;0.02086;0.46373;0.07269;0.01707;0.12877;0.03045;0.02889;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
13;0.56335;0.00000;0.00000;3.03623;2.36151;1.93215;3.31312;2.38779;0.42800;1.17850;1.35909;0.34084;0.73884;0.10432;0.46373;0.14538;0.03414;0.00000;0.06090;0.01444;0.01374;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
14;0.00000;2.60940;1.34254;3.03623;0.12519;4.01692;0.51636;1.45521;1.67887;2.14945;1.06626;1.09494;0.47033;0.02086;0.11656;0.09086;0.01707;0.08048;0.12181;0.01444;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
15;7.82821;5.03475;2.90818;1.99839;1.61566;0.66146;0.51636;2.27512;2.83033;0.05930;1.46639;0.68169;0.06760;0.49809;0.32775;0.10904;0.06828;0.06438;0.07613;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
16;6.71269;4.84697;1.34254;3.27607;3.10861;0.00000;0.60303;1.86442;0.88914;0.79555;1.99839;0.70618;0.73884;0.08346;0.34718;0.12721;0.05121;0.08048;0.03045;0.01444;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
17;0.00000;5.21881;0.00000;3.99518;0.06259;1.88195;2.66761;0.93258;2.07374;1.85545;1.01261;0.46224;0.18027;0.41463;0.17483;0.00000;0.08536;0.08048;0.03045;0.01444;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
18;0.00000;2.23756;4.47382;1.91791;2.54805;1.88195;1.03272;0.97014;1.31715;1.50215;0.77343;0.68169;0.29104;0.45636;0.38603;0.05452;0.08536;0.03219;0.04568;0.01444;0.01374;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
