Frame;Bin 1;Bin 2;Bin 3;Bin 4;Bin 5;Bin 6;Bin 7;Bin 8;Bin 9;Bin 10;Bin 11;Bin 12;Bin 13;Bin 14;Bin 15;Bin 16;Bin 17;Bin 18;Bin 19;Bin 20;Bin 21;Bin 22;Bin 23;Bin 24;Bin 25;Bin 26;Bin 27;Bin 28;Bin 29;Bin 30;Bin 31;Bin 32;Bin 33;Bin 34;Bin 35;Bin 36;Bin 37;Bin 38;Bin 39;Bin 40
1;0.00000;13.01900;0.00000;39.03700;42.02100;26.03800;26.03800;61.06300;74.08200;38.04900;28.05400;16.04300;14.02700;21.03900;21.03900;2.01600;6.04800;7.05600;2.01600;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.00000;12.01100;12.01100;27.02600;13.01900;51.04800;39.03700;52.07600;27.02600;75.09000;42.03700;32.04200;28.05400;4.03200;6.04800;5.04000;5.04000;5.04000;0.00000;3.02400;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0.00000;12.01100;26.01800;28.01400;28.03400;25.03000;49.05200;61.06300;64.08700;74.08200;4.03200;19.02300;6.04800;21.03900;8.06400;4.03200;4.03200;2.01600;3.02400;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0.00000;26.01800;26.01800;14.02700;24.02200;24.02200;14.00700;37.04100;101.10800;66.10300;15.03500;4.03200;44.05300;22.04700;2.01600;4.03200;7.05600;5.04000;2.01600;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0.00000;0.00000;26.01800;26.03800;52.03600;14.00700;64.06700;40.06500;48.04400;77.10600;15.03500;30.07000;17.00700;3.02400;20.03100;8.06400;3.02400;5.04000;3.02400;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;14.00700;12.01100;27.02600;40.02500;24.02200;12.01100;17.03100;26.03800;99.11200;63.07900;26.03800;38.04900;4.03200;6.04800;19.02300;18.01500;7.05600;7.05600;4.03200;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0.00000;1.00800;0.00000;78.05400;28.03400;38.02900;25.03000;25.03000;109.10700;28.05400;51.06800;5.04000;50.05700;2.01600;7.05600;4.03200;3.02400;4.03200;2.01600;2.01600;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0.00000;0.00000;0.00000;39.03700;53.04400;14.02700;51.04800;37.04100;48.04400;41.05300;73.07400;19.06700;37.03800;17.05100;6.04800;5.04000;1.00800;3.02400;4.03200;4.03200;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;1.00800;14.00700;12.01100;36.03300;12.01100;65.05500;64.06700;25.03000;2.01600;26.03800;28.05400;77.10600;32.04200;6.04800;19.02300;4.03200;3.02400;3.02400;7.05600;1.00800;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;14.00700;26.01800;12.01100;24.02200;14.00700;27.02600;25.03000;51.06800;64.08700;73.07400;45.06100;1.00800;20.07500;18.01500;6.04800;3.02400;4.03200;4.03200;5.04000;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0.00000;26.01800;0.00000;26.01800;62.05100;38.04900;25.03000;51.04800;5.04000;50.06000;75.09000;13.01900;25.07100;3.02400;26.07900;0.00000;5.04000;2.01600;4.03200;1.00800;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0.00000;28.03400;39.03700;50.04000;0.00000;14.00700;13.01900;26.03800;74.08200;62.07100;53.04000;21.08300;16.04300;1.00800;24.06300;4.03200;1.00800;8.06400;2.01600;2.01600;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;1.00800;0.00000;0.00000;38.02900;38.02900;38.02900;77.06600;64.08700;13.01900;40.06500;51.06800;14.02700;33.05000;5.04000;24.06300;8.06400;2.01600;0.00000;4.03200;1.00800;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0.00000;14.00700;12.01100;38.02900;2.01600;79.06200;12.01100;39.05700;51.06800;73.07400;40.06500;45.06100;21.03900;1.00800;6.04800;5.04000;1.00800;5.04000;8.06400;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;14.00700;27.02600;26.01800;25.03000;26.01800;13.01900;12.01100;61.06300;86.09300;2.01600;55.10000;28.05400;3.02400;24.06300;17.00700;6.04800;4.03200;4.03200;5.04000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;12.01100;26.01800;12.01100;41.03300;50.06000;0.00000;14.02700;50.04000;27.04600;27.04600;75.09000;29.06200;33.05000;4.03200;18.01500;7.05600;3.02400;5.04000;2.01600;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0.00000;28.01400;0.00000;50.04000;1.00800;37.04100;62.05100;25.03000;63.07900;63.07900;38.04900;19.02300;8.06400;20.03100;9.07200;0.00000;5.04000;5.04000;2.01600;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0.00000;12.01100;40.02500;24.02200;41.03300;37.04100;24.02200;26.03800;40.06500;51.06800;29.06200;28.05400;13.01900;22.04700;20.03100;3.02400;5.04000;2.01600;3.02400;1.00800;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
