x;Velocity
0.19170;0.80097
0.57510;0.81758
0.95850;0.81335
1.34190;0.80407
1.72530;0.81167
2.10870;0.82908
2.49210;0.81671
2.87550;0.81704
3.25890;0.81668
3.64230;0.82592
4.02570;0.81781
4.40910;0.82146
4.79250;0.81705
5.17590;0.81048
5.55930;0.81930
5.94270;0.82229
6.32610;0.81939
6.70950;0.80933
7.09290;0.80426
7.47630;0.82609
7.85970;0.81930
8.24310;0.82572
8.62650;0.81532
9.00990;0.81621
9.39330;0.82242
9.77670;0.80142
10.16010;0.81278
10.54350;0.82011
10.92690;0.80890
11.31030;0.81876
11.69370;0.82600
12.07710;0.81992
12.46050;0.82728
12.84390;0.82256
13.22730;0.80940
13.61070;0.82979
13.99410;0.81214
14.37750;0.81656
14.76090;0.82654
15.14430;0.84076
15.52770;0.82880
15.91110;0.83631
16.29450;0.83306
16.67790;0.83941
17.06130;0.83994
17.44470;0.82555
17.82810;0.82363
18.21150;0.84000
18.59490;0.81921
18.97830;0.83837
19.36170;0.83956
19.74510;0.84367
20.12850;0.82791
20.51190;0.83850
20.89530;0.83331
21.27870;0.83292
21.66210;0.84416
22.04550;0.83831
22.42890;0.82890
22.81230;0.83050
23.19570;0.82654
23.57910;0.81664
23.96250;0.80808
24.34590;0.81646
24.72930;0.81995
25.11270;0.82869
25.49610;0.81660
25.87950;0.83064
26.26290;0.82854
26.64630;0.83278
27.02970;0.83389
27.41310;0.82995
27.79650;0.82857
28.17990;0.82333
28.56330;0.83013
28.94670;0.83449
29.33010;0.82138
29.71350;0.82097
30.09690;0.81773
30.48030;0.81746
30.86370;0.81681
31.24710;0.82385
31.63050;0.81654
32.01390;0.82329
32.39730;0.81551
32.78070;0.81023
33.16410;0.81413
33.54750;0.82077
33.93090;0.81894
34.31430;0.82573
34.69770;0.82099
35.08110;0.80978
35.46450;0.81606
35.84790;0.81633
36.23130;0.81559
36.61470;0.80837
36.99810;0.82080
37.38150;0.80573
37.76490;0.80573
38.14830;0.81219
